PHASE 4: FOLDER REDESIGN,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
Folder Path,Folder Name,Depth Level,Parent Folder,
"/content/dam/s-form/dcs, (crxde, html, json)",dcs,2,/content/dam/s-form,"/content/dam/s-form/dcs, (crxde, html, json)"
"/content/dam/doc/ai, (crxde, html, json)",ai,2,/content/dam/doc,"/content/dam/doc/ai, (crxde, html, json)"
"/content/dam/img/brand/tp-logo/retirement, (crxde, html, json)",retirement,4,/content/dam/img/brand/tp-logo,"/content/dam/img/brand/tp-logo/retirement, (crxde, html, json)"
"/content/dam/video/net, (crxde, html, json)",net,2,/content/dam/video,"/content/dam/video/net, (crxde, html, json)"
"/content/dam/creative-assets/video/net, (crxde, html, json)",net,3,/content/dam/creative-assets/video,"/content/dam/creative-assets/video/net, (crxde, html, json)"
"/content/dam/creative-assets/img/sc, (crxde, html, json)",sc,3,/content/dam/creative-assets/img,"/content/dam/creative-assets/img/sc, (crxde, html, json)"
"/content/dam/img/sc, (crxde, html, json)",sc,2,/content/dam/img,"/content/dam/img/sc, (crxde, html, json)"
"/content/dam/uploads, (crxde, html, json)",uploads,1,/content/dam,"/content/dam/uploads, (crxde, html, json)"
"/content/dam/creative-assets/video/licensed-video-audio, (crxde, html, json)",licensed-video-audio,3,/content/dam/creative-assets/video,"/content/dam/creative-assets/video/licensed-video-audio, (crxde, html, json)"
"/content/dam/creative-assets/img/sc/article-hero, (crxde, html, json)",article-hero,4,/content/dam/creative-assets/img/sc,"/content/dam/creative-assets/img/sc/article-hero, (crxde, html, json)"
"/content/dam/creative-assets/img/sc/em-icb, (crxde, html, json)",em-icb,4,/content/dam/creative-assets/img/sc,"/content/dam/creative-assets/img/sc/em-icb, (crxde, html, json)"
"/content/dam/img/sc/article-hero, (crxde, html, json)",article-hero,3,/content/dam/img/sc,"/content/dam/img/sc/article-hero, (crxde, html, json)"
"/content/dam/img/sc/em-icb, (crxde, html, json)",em-icb,3,/content/dam/img/sc,"/content/dam/img/sc/em-icb, (crxde, html, json)"
"/content/dam/creative-assets/video/stock-video, (crxde, html, json)",stock-video,3,/content/dam/creative-assets/video,"/content/dam/creative-assets/video/stock-video, (crxde, html, json)"
"/content/dam/img/in5, (crxde, html, json)",in5,2,/content/dam/img,"/content/dam/img/in5, (crxde, html, json)"
"/content/dam/video/ca, (crxde, html, json)",ca,2,/content/dam/video,"/content/dam/video/ca, (crxde, html, json)"
"/content/dam/img/in5/mentalwellness, (crxde, html, json)",mentalwellness,3,/content/dam/img/in5,"/content/dam/img/in5/mentalwellness, (crxde, html, json)"
"/content/dam/img/in5/FinancialWellBeing, (crxde, html, json)",FinancialWellBeing,3,/content/dam/img/in5,"/content/dam/img/in5/FinancialWellBeing, (crxde, html, json)"
